"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","0","219","0","0"
"Posts","Post Photos Management","","0","0","11","0","0"
"Plant Photos","Plant Photos Collection Management","","0","0","11","0","0"
"Plant Photos","Plant Photo Management","","0","0","6","0","0"
"Post Service","Post Management","","0","0","4","0","0"
"Authentication","Author Management","","0","0","7","0","0"
"Plant Service","Plant Management","","0","0","3","0","0"
"Albums","Album Management","","0","0","9","0","0"
"Posts","Post Management","","0","0","10","0","0"
"Album Repository","Album Storage","","0","0","5","0","0"
"Plant Management","Plant Model Operations","","0","0","8","0","0"
"Plant E2E","Plant","","0","0","1","0","0"
"Album Service","Album Management","","0","0","6","0","0"
"Search","Plant Filters","","0","0","11","0","0"
"Search","Post Filters","","0","0","4","0","0"
"Auth Repository","Authentication Storage","","0","0","11","0","0"
"Plant Specifications","Coniferous Specification","","0","0","6","0","0"
"Plant Specifications","Deciduous Specification","","0","0","6","0","0"
"Authentication","Email Validation","","0","0","1","0","0"
"Plant Repository","Plant Storage","","0","0","4","0","0"
"Post Repository","Post Storage","","0","0","5","0","0"
"Authentication","Member Management","","0","0","7","0","0"
"Post Parsing","LaTeX-like Plant Parser","","0","0","8","0","0"
"Authentication","Session Storage","","0","0","8","0","0"
"Authentication","Auth Service","","0","0","4","0","0"
"Search Repository","Search Storage","","0","0","4","0","0"
"Authentication","Bcrypt Hasher","","0","0","3","0","0"
"Plant Service","Plant Creation","","0","0","1","0","0"
"Search Service","Search Management","","0","0","4","0","0"
"String Utils","String Manipulation","","0","0","1","0","0"
"Plant Service","Plant Retrieval","","0","0","1","0","0"
