"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 16 20:38:31 GMT 2025","Tue Sep 16 20:38:31 GMT 2025","1","AlbumServiceTestSuite","TestRemovePlantFromAlbum","","","","Successful plant removal from album",""
"passed","Tue Sep 16 20:38:32 GMT 2025","Tue Sep 16 20:38:32 GMT 2025","2","SearchServiceTestSuite","TestSearchPlants","","","","Successful search with name filter",""
"passed","Tue Sep 16 20:39:00 GMT 2025","Tue Sep 16 20:39:00 GMT 2025","135","","AlbumRepositoryTestSuite","","","","TestCreateAlbum","Test album creation functionality"
"passed","Tue Sep 16 20:38:30 GMT 2025","Tue Sep 16 20:38:30 GMT 2025","1","","DeciduousSpecificationTestSuite","","","","TestNewDeciduousSpecificationValidationErrors","Test validation errors during deciduous specification creation"
"passed","Tue Sep 16 20:38:32 GMT 2025","Tue Sep 16 20:38:32 GMT 2025","0","SearchServiceTestGetPostSuite","TestGetPost","","","","Nil post ID",""
"passed","Tue Sep 16 20:38:30 GMT 2025","Tue Sep 16 20:38:30 GMT 2025","0","PostTestSuite","TestCreatePostValidationErrors","","","","Empty authorID",""
"passed","Tue Sep 16 20:38:31 GMT 2025","Tue Sep 16 20:38:31 GMT 2025","1","","PlantFiltersTestSuite","","","","TestPlantHeightFilter","Test plant height range filtering"
"passed","Tue Sep 16 20:39:07 GMT 2025","Tue Sep 16 20:39:07 GMT 2025","422","","PlantRepositoryTestSuite","","","","TestCreatePlant","Test plant creation functionality"
"passed","Tue Sep 16 20:38:30 GMT 2025","Tue Sep 16 20:38:30 GMT 2025","0","","AlbumTestSuite","","","","TestUpdateName","Successful update of album name"
"passed","Tue Sep 16 20:39:03 GMT 2025","Tue Sep 16 20:39:03 GMT 2025","31","","AuthRepositoryTestSuite","","","","TestGetByEmail","Test member retrieval by email functionality"
"passed","Tue Sep 16 20:38:32 GMT 2025","Tue Sep 16 20:38:32 GMT 2025","3","","PlantServiceTestSuite","","","","TestDeletePlant","Test plant deletion functionality"
